SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE
COc1ccc(COn2cccc(C(=O)O)c2=O)cc1,1.1839,1,6,6,77.75999999999999,33,70.93930000000003,True,False,False,False,275.2599999999997,False,False,True
O=c1[nH]cccc1-c1nc2cc(Cl)c(Cl)cc2s1,3.958400000000001,1,3,1,45.75,24,75.69670000000002,True,False,False,False,297.1659999999999,False,False,True
N#Cc1cc(-c2cccc(Cl)c2)c[nH]c1=O,2.56698,1,2,1,56.65,23,62.223700000000015,True,False,False,False,230.654,False,False,True
COC(=O)CCn1cc(Br)ccc1=O,1.1739,0,4,4,48.3,24,55.03500000000002,True,False,False,False,260.08699999999993,False,False,True
NC(=S)Nn1ccc2c(nnc3ccnn32)c1=O,-0.7737000000000005,2,7,1,103.13,25,68.69409999999999,True,False,False,False,261.2699999999999,False,False,True
Cc1cc(O)cc(=O)n1CCC1=CCCCC1,2.7528200000000007,1,3,5,42.23,36,68.27180000000003,True,False,False,False,233.31100000000015,False,False,True
NCCNC(=O)c1ccc(=O)[nH]c1,-0.9366,3,3,4,87.97999999999999,24,48.450300000000006,True,False,False,False,181.19500000000008,False,False,True
CCN(C)C(=O)Cn1cccc(N)c1=O,-0.0912000000000002,1,4,6,68.33000000000001,30,58.425400000000025,True,False,False,False,209.2490000000001,False,False,True
O=Cc1cc(=O)n2c3c(cccc13)CCC2,1.7602,0,3,1,39.07,27,61.91650000000003,True,False,False,False,213.23600000000008,False,False,True
CCOC(=O)c1cc2c([nH]c1=O)CCCC2,1.4304,1,3,3,59.16,31,59.66120000000002,True,False,False,False,221.25600000000009,False,False,True
Cc1nn(C)c2c1cc(CO)c(=O)n2C,0.0727199999999997,1,5,5,60.05,28,56.614800000000024,True,False,False,False,207.2330000000001,False,False,True
COC(=O)Cc1ccc2[nH]c(=O)cc(C)c2c1,1.55202,1,3,4,59.16,30,65.02570000000001,True,False,False,False,231.2510000000001,False,False,True
O=C(O)c1ccc(=O)n(Cc2ccc([N+](=O)[O-])cc2)c1,1.503,1,6,4,102.44,30,69.8597,True,False,False,False,274.2319999999998,False,False,True
O=C(O)c1ccc(-c2ccc(=O)[nH]c2)o1,1.3331,2,4,2,83.3,22,51.724,True,False,False,False,205.16900000000004,False,False,True
Cc1cccc(S(=O)(=O)c2c(C)cc(C)[nH]c2=O)c1,2.1329599999999997,1,3,5,67.0,34,73.16750000000002,True,False,False,False,277.3449999999997,False,False,True
O=c1cc(CBr)c2cccc(F)c2[nH]1,2.5621,1,1,1,32.86,21,57.157700000000006,True,False,False,False,256.074,False,False,True
CC(=O)c1cccc2c(=O)n(C)ccc12,1.7411,0,3,3,39.07,26,59.19350000000003,True,False,False,False,201.22500000000008,False,False,True
[N-]=[N+]=NCCn1ccc2ccccc2c1=O,2.3118,0,3,3,70.76,26,62.22100000000002,True,False,False,False,214.2280000000001,False,False,True
O=C(O)c1cc2ccccc2c(=O)[nH]1,1.2262999999999995,2,3,1,70.16,21,51.52800000000001,True,False,False,False,189.17000000000004,False,False,True
O=c1c2cnc(N3CCCC3)nc2ccn1O,0.629,1,6,2,71.25,29,62.429500000000026,True,False,False,False,232.2430000000001,False,False,True
O=C1CC(c2cccs2)Cc2[nH]c(=O)ccc21,2.3491,1,3,1,49.93,28,66.77420000000002,True,False,False,False,245.30300000000005,False,False,True
COCCn1ccc(N)cc1=O,0.0769,1,4,5,57.25,24,46.990400000000015,True,False,False,False,168.1960000000001,False,False,True
CC(=O)n1cc(Cl)c2ccccc2c1=O,2.3150000000000004,0,3,1,39.07,23,59.51850000000002,True,False,False,False,221.6430000000001,False,False,True
CC(=O)Cn1cc(Br)ccc1=O,1.1998,0,3,3,39.07,20,49.08300000000001,True,False,False,False,230.06100000000004,False,False,True
CCC(N)CNC(=O)c1ccc(=O)[nH]c1,-0.1580000000000005,3,3,6,87.97999999999999,30,57.662300000000016,True,False,False,False,209.24900000000017,False,False,True
COC(=O)c1cn(C)c(=O)cc1O,-0.1225,1,5,4,68.53,22,44.687300000000015,True,False,False,False,183.16300000000007,False,False,True
Cn1ncnc1Cn1cccc(N)c1=O,-0.3927,1,6,4,78.72999999999999,26,55.219400000000014,True,False,False,False,205.2210000000001,False,False,True
CC(C)c1ccc(C(=O)O)c(=O)[nH]1,1.1965,2,3,4,70.16,24,48.11100000000001,True,False,False,False,181.1910000000001,False,False,True
Cc1cc(C)c(/C(N)=N/O)c(=O)[nH]1,0.08624,3,3,4,91.47,24,49.0476,True,False,False,False,181.1950000000001,False,False,True
CN1CCc2[nH]c(=O)c([N+](=O)[O-])cc2C1,0.2709999999999999,1,4,2,79.24,26,53.75510000000002,True,False,False,False,209.20500000000007,False,False,True
CCOC(=O)c1cc(=O)[nH]c2nn(C)c(C3CC3)c12,1.3156999999999996,1,5,5,76.98000000000002,34,69.26620000000003,True,False,False,False,261.28099999999995,False,False,True
O=c1cccc(-c2ccccc2)[nH]1,2.0419,1,1,1,32.86,22,52.49870000000002,True,False,False,False,171.19900000000007,False,False,True
O=c1cc(C(F)(F)F)c2cc([N+](=O)[O-])ccc2[nH]1,2.4551,1,3,1,76.0,23,56.22510000000001,True,False,False,False,258.155,False,False,True
Cc1cc(N)n(C)c(=O)c1,0.2759199999999998,1,3,3,48.02,20,40.8324,True,False,False,False,138.17000000000007,False,False,True
CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)CCC1=O,0.0890999999999999,1,6,3,85.6,32,63.63330000000003,True,False,False,False,263.24899999999985,False,False,True
Cc1cccc2ccc(=O)n(C)c12,1.84692,0,2,2,22.0,24,53.926000000000016,True,False,False,False,173.21500000000006,False,False,True
Cc1cc(Cl)cc2ccc(=O)[nH]c12,2.4899199999999997,1,1,1,32.86,21,54.31570000000001,True,False,False,False,193.63300000000007,False,False,True
COC(OC)(OC)c1cc2ccccc2c(=O)[nH]1,1.5776,1,4,7,60.55,33,67.27370000000003,True,False,False,False,249.2660000000001,False,False,True
C=CCNS(=O)(=O)c1ccc2[nH]c(=O)cc(C)c2c1,1.3008200000000003,2,3,5,79.03,33,74.69120000000001,True,False,False,False,278.3329999999997,False,False,True
Cc1cc(=O)[nH]c2ccc([N+](=O)[O-])cc12,1.7447199999999998,1,3,2,76.0,23,55.96010000000001,True,False,False,False,204.18500000000003,False,False,True
CNS(=O)(=O)c1cc(C)c2[nH]c(=O)cc(C)c2c1,1.0530400000000002,2,3,5,79.03,32,70.28820000000002,True,False,False,False,266.3219999999998,False,False,True
Cc1[nH]c(=O)ccc1C1CCCN1C(C)C,2.2286200000000003,1,2,5,36.1,36,65.61670000000004,True,False,False,False,220.31600000000017,False,False,True
N#Cc1c(-c2cccc([N+](=O)[O-])c2)cc[nH]c1=O,1.8217799999999995,1,4,2,99.79,25,63.86810000000001,True,False,False,False,241.206,False,False,True
CCOCCCn1c(C)cc(O)cc1=O,1.2889199999999998,1,4,8,51.46,32,58.213800000000035,True,False,False,False,211.26100000000017,False,False,True
CC1(C)CC(=O)c2cc(C(=O)O)c(=O)[nH]c2C1,1.2282,2,4,3,87.22999999999999,30,60.45450000000002,True,False,False,False,235.2390000000001,False,False,True
O=C(Cn1cccc([N+](=O)[O-])c1=O)c1ccccc1,1.6394,0,5,4,82.21000000000001,29,68.12890000000003,True,False,False,False,258.233,False,False,True
O=C(O)CCCn1ccccc1=O,0.7131000000000001,1,4,4,59.3,24,47.571800000000025,True,False,False,False,181.1910000000001,False,False,True
COc1cc2cc[nH]c(=O)c2cc1F,1.6758,1,2,2,42.09,22,51.078700000000005,True,False,False,False,193.17700000000005,False,False,True
Cc1cc(CN)c(=O)[nH]c1C,0.4504399999999999,2,2,4,58.88,23,44.42810000000001,True,False,False,False,152.19700000000012,False,False,True
COC(=O)Cn1cc2c(=O)n(C)c(C)cc2n1,0.2164199999999996,0,6,5,66.12,30,61.72700000000002,True,False,False,False,235.2430000000001,False,False,True
NCc1c2c(c[nH]c1=O)CCCCC2,1.1024999999999994,2,2,2,58.88,30,56.21310000000002,True,False,False,False,192.2620000000001,False,False,True
Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,2.7856000000000014,1,3,3,48.02,27,70.67840000000001,True,False,False,False,269.1309999999998,False,False,True
Cc1cc(=O)[nH]c2c1CCC2,1.17202,1,1,1,32.86,22,43.82470000000002,True,False,False,False,149.1930000000001,False,False,True
COC(=O)Cn1cc([N+](=O)[O-])ccc1=O,-0.0705,0,6,4,91.44,23,49.37240000000001,True,False,False,False,212.1610000000001,False,False,True
CCc1ccc2[nH]c(=O)cc(C)c2c1,2.3989200000000004,1,1,3,32.86,27,58.68370000000002,True,False,False,False,187.2420000000001,False,False,True
C#CCn1c(=O)ccc2cc(F)ccc21,1.7738,0,2,1,22.0,23,56.99900000000001,True,False,False,False,201.20000000000005,False,False,True
CC(C)(C)c1[nH]c(=O)c(C(=O)O)cc1Br,2.1331,2,3,1,70.16,27,60.42200000000002,True,False,False,False,274.11399999999975,False,False,True
COc1ccc(Cn2cc(C(=O)O)ccc2=O)cc1,1.6034,1,5,5,68.53,32,69.75730000000003,True,False,False,False,259.26099999999997,False,False,True
Cn1cc2c(C(F)(F)F)cc(=O)n(CCC(=O)O)c2n1,1.2285,1,6,4,77.12,30,62.228800000000014,True,False,False,False,289.2129999999998,False,False,True
O=C(O)c1cccc(=O)n1CC1CC1,0.9565,1,4,3,59.3,25,50.385300000000015,True,False,False,False,193.20200000000008,False,False,True
COCc1cc(C)n(CC(N)=O)c(=O)c1C#N,-0.3398999999999998,1,5,6,98.11,30,60.06140000000001,True,False,False,False,235.24300000000008,False,False,True
O=c1[nH]ccc2ccn(Cc3ccccc3)c12,2.3779000000000003,1,2,2,37.79,29,68.10270000000003,True,False,False,False,224.2630000000001,False,False,True
CCCCn1nc2[nH]c(=O)cc(C)c2c1C,2.14154,1,3,6,50.68,33,64.73570000000002,True,False,False,False,219.28800000000012,False,False,True
Cc1cc(=O)[nH]cc1-c1ccc(C(=O)O)s1,2.11002,2,4,3,70.16,25,62.07200000000002,True,False,False,False,235.26400000000007,False,False,True
CC(=O)N1CCCCC1c1ccc[nH]c1=O,1.4484,1,2,2,53.17,32,61.04170000000003,True,False,False,False,220.27200000000013,False,False,True
Cc1cc(=O)[nH]cc1C1CCCCN1,1.49792,2,2,2,44.89,30,56.39440000000003,True,False,False,False,192.26200000000017,False,False,True
Cn1cc(NC2CCCCC2)ccc1=O,2.1299,1,3,3,34.03,33,62.178700000000035,True,False,False,False,206.28900000000013,False,False,True
O=C(O)c1cc(=O)[nH]c2ccc(Cl)cc12,1.8797,2,3,1,70.16,21,56.538,True,False,False,False,223.61500000000004,False,False,True
O=c1cc(Cl)c2cccc(C(F)(F)F)c2[nH]1,3.2003000000000004,1,1,0,32.86,21,54.58069999999999,True,False,False,False,247.603,False,False,True
C=CCn1cccc(C(=O)Nc2ccc(F)cc2)c1=O,2.4257,1,3,4,51.1,33,75.25220000000002,True,False,False,False,272.2789999999997,False,False,True
COC(=O)CNc1cc(=O)[nH]c2ccccc12,1.1129999999999998,2,4,4,71.19,29,65.07440000000003,True,False,False,False,232.2390000000001,False,False,True
O=c1ccc(C(F)(F)F)cn1CC1CCNCC1,1.8667,1,3,2,34.03,33,61.297700000000034,True,False,False,False,260.259,False,False,True
Cc1c2c(C(F)F)cc(=O)n(CCC(=O)O)c2nn1C,1.45572,1,6,6,77.12,33,66.92080000000001,True,False,False,False,285.2499999999998,False,False,True
O=C1CC(C(F)F)Cc2[nH]c(=O)ccc21,1.3851,1,2,1,49.93,24,49.20820000000002,True,False,False,False,213.18300000000005,False,False,True
O=C(O)c1cc2c([nH]c1=O)CCS(=O)(=O)C2,-0.4559999999999997,2,5,1,104.29999999999998,25,55.216800000000006,True,False,False,False,243.24000000000007,False,False,True
Nn1ccc2c(cnc3ncnn32)c1=O,-0.8470000000000002,1,7,1,91.1,21,52.6984,True,False,False,False,202.17700000000005,False,False,True
CCc1cccc2cc(C=O)c(=O)[nH]c12,1.9029999999999996,1,2,3,49.93,26,59.33420000000001,True,False,False,False,201.22500000000008,False,False,True
Cc1cc(Cl)cc(=O)n1Cc1ccccc1,2.8584200000000006,0,2,3,22.0,28,65.99300000000002,True,False,False,False,233.6980000000001,False,False,True
Cc1ccc2[nH]c(=O)c(O)cc2c1,1.5421199999999995,2,2,2,53.09,22,50.970500000000015,True,False,False,False,175.18700000000007,False,False,True
NCc1cccn(CC2CC2)c1=O,0.7169999999999999,1,3,4,48.02,27,51.31740000000002,True,False,False,False,178.2350000000001,False,False,True
Cc1cc(=O)[nH]c2nn(C3CCCC3)c(C)c12,2.4565400000000004,1,3,3,50.68,34,67.33270000000003,True,False,False,False,231.29900000000015,False,False,True
CCc1cc(C)[nH]c(=O)c1C#N,1.1174,1,2,3,56.65,22,45.89270000000001,True,False,False,False,162.1920000000001,False,False,True
CCn1c(=O)c(CO)cc2ccccc21,1.5136999999999998,1,3,4,42.23,28,59.80480000000003,True,False,False,False,203.24100000000007,False,False,True
NCCn1cc(C(F)(F)F)ccc1=O,0.8257999999999999,1,3,3,48.02,23,44.758400000000016,True,False,False,False,206.1670000000001,False,False,True
O=C(NCC1CCNCC1)c1ccc(=O)[nH]c1,0.1042999999999998,3,3,3,73.99000000000001,34,64.98960000000002,True,False,False,False,235.28700000000012,False,False,True
N#Cc1c2c(c[nH]c1=O)C(=O)CCC2,0.7655799999999999,1,3,0,73.72,22,49.046200000000006,True,False,False,False,188.18600000000004,False,False,True
