SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR
NCc1ccc(-c2cccnc2)[nH]c1=O,0.8955999999999997,2,3,3,71.77,26,58.185100000000006,True,True
O=c1cc(Cl)c2cccnc2n1-c1ccccc1,3.0391000000000012,0,3,1,34.89,27,72.35000000000001,True,True
O=C(O)c1cncc(-c2cncc(C(=O)O)c2)c1,1.5399999999999998,2,6,3,100.38,26,61.386600000000016,True,True
COc1nc(CC#N)ccc1-c1cccnc1,2.21828,0,4,4,58.8,28,63.33700000000003,True,True
OCc1cccnc1-c1ncccc1CO,1.1282,2,4,5,66.24000000000001,28,59.31360000000003,True,True
N#CCc1cc(-c2ccncc2)c(Cl)cn1,2.863080000000002,0,3,2,49.57,24,61.79500000000002,True,True
Ic1cccnc1-c1cccnc1,2.7482000000000006,0,2,1,25.78,20,60.18500000000002,True,True
Cc1cc(C)c2nc(N)ccc2n1,1.82884,1,3,3,51.8,24,53.42440000000002,True,True
Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,1.8697,1,4,2,73.94999999999999,29,70.70070000000003,True,True
Nc1ccc2c(O)cc(=O)[nH]c2n1,0.2109000000000001,3,4,2,92.0,20,48.44089999999999,True,True
COc1ncc2c(Cl)ccnc2c1Br,3.0543000000000005,0,3,2,35.010000000000005,20,58.80000000000001,True,True
O=C(O)CCCc1ccc2cccnc2n1,2.0370999999999997,1,4,4,63.08,28,60.111800000000024,True,True
C[Si](C)(C[Si](C)(C)c1ccccn1)c1ccccn1,2.5468,0,2,8,25.78,41,87.51300000000005,True,True
FC(F)(F)c1cnc(NCc2ccncc2)c(Cl)c1,3.7609000000000017,1,3,3,37.81,28,65.81270000000002,True,True
O.O=C(O)c1ccc2ccc3ccc(C(=O)O)nc3c2n1,1.3547,2,6,2,131.88,31,74.57640000000004,True,True
c1cnc2c(c1)ccc1cc(-c3ccncc3)[nH]c12,3.778100000000002,1,2,1,41.57,30,76.83070000000002,True,True
COC(=O)c1nc(F)ccc1-c1cccnc1,2.0692999999999997,0,4,3,52.08,26,58.76550000000003,True,True
OCc1nc(F)ccc1-c1cccnc1,1.7749999999999997,1,3,3,46.010000000000005,24,53.348800000000026,True,True
