Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
QWCTWWKRVPOZFI-UHFFFAOYSA-N,-38.7088298,7189.832797,176392.4486,135.149116,3.656,2.96356989,0.609219544,0.027520229,0.003857582,0.01894334,-0.022376788,-0.3615872,-0.252678,0.2187,3.764
FLIQYTXJLWGVBG-UHFFFAOYSA-N,-34.48002068,7034.664985,172449.928,134.867555,3.605,3.075263201,0.606658946,0.016114862,0.007187264,0.025099676,-0.021788158,-0.3583329,-0.245319,0.1976,3.55
RUFZKKRVKYJHJM-UHFFFAOYSA-N,-29.35821186,4512.993211,102401.083,104.693399,4.237,3.507588162,0.4230783,0.024693311,0.010521675,0.021917711,-0.01646829,-0.3444271,-0.2155256,0.1083,4.562
MPOYMIHLKYRVQC-UHFFFAOYSA-N,-30.50329134,4897.08626,116207.4829,110.53485,1.118,3.034715803,0.47863215,0.020430689,0.006788414,0.019812881,-0.017957977,-0.3478763,-0.2363526,0.163,1.1
XLENGXHHGQWCMW-UHFFFAOYSA-N,-43.23751412,6066.129967,141276.5465,118.521511,2.786,2.211708549,0.426965054,0.096972676,0.002803872,0.006488109,-0.019286776,-0.4131665,-0.3318877,0.4071,4.808
YKQARTJZEXCQLQ-UHFFFAOYSA-N,-43.60953261,6779.090352,155638.1666,125.479742,3.013,3.480875756,0.473903762,0.072577936,0.002334325,0.011926352,-0.021059757,-0.3795753,-0.2516554,0.1266,3.395
JSVGZEXTHLLLQF-UHFFFAOYSA-N,-32.34766165,5820.153839,139936.0208,119.498145,1.37,3.194569306,0.534741293,0.013829647,0.005907484,0.021198757,-0.020018509,-0.3627053,-0.245307,0.1404,1.191
YTUGQJYIJAAQMR-UHFFFAOYSA-N,-34.59238735,5320.655113,124582.3807,113.123267,1.948,2.995481538,0.437279124,0.048339082,0.003794116,0.016574249,-0.019334364,-0.3611005,-0.2510186,0.1696,1.928
SMECUBWISXUYSV-UHFFFAOYSA-N,-41.91428238,8344.730117,187636.3596,139.881234,1.213,3.38952252,0.519989675,0.036512609,0.007927962,0.023690397,-0.026175403,-0.3470893,-0.2225267,0.1304,1.267
UDDLFUXNJXEGCB-UHFFFAOYSA-N,-36.06684388,6740.697696,152123.3514,126.050694,0.76,3.633965541,0.493842413,0.028086109,0.005943301,0.019884398,-0.020438749,-0.3669198,-0.233374,0.0841,0.521
