SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS
Cc1cc(O)cc(=O)n1CCN.Cl,0.2428199999999999,2,4,5,68.25,26,53.40620000000002,True,False,True
Cl.Cl.NC1CCN(c2ccncc2)C1,1.4626,1,3,2,42.15,29,63.538400000000024,True,False,True
CS(=O)(=O)c1ccc(CN)nc1.Cl,0.3656000000000001,1,4,4,73.05,24,52.486200000000025,True,False,True
CCCCCC(N)c1cccc(C)n1.Cl,3.391920000000002,1,2,8,38.91,36,67.29240000000003,True,False,True
COc1cc(OC)c(N)cn1.Cl.Cl,1.5245999999999995,1,4,5,57.370000000000005,25,56.24940000000002,True,False,True
Cl.Cl.O=C(O)C1CCN(Cc2ccncc2)CC1,2.2218,1,4,3,53.43,36,74.36980000000004,True,False,True
COS(=O)(=O)[O-].CO[n+]1cccc2cccc(O)c21,-0.0156999999999993,1,6,5,99.77,32,65.01800000000003,True,False,True
Cl.c1cc(N2CCOCC2)c2c(n1)CCNC2,0.9857,1,4,1,37.39,35,69.92770000000003,True,False,True
Br.O=C(O)c1cnc2c(O)cccc2c1,2.2165,2,4,2,70.42,23,60.689100000000025,True,False,True
Cl.Cl.c1ccc(CNC2CCNCC2)nc1,1.7667999999999997,2,3,3,36.95,35,71.46440000000004,True,False,True
Cl.Nc1ccc2ncccc2c1,2.2387999999999995,1,2,1,38.91,21,53.40340000000002,True,False,True
CC(C)(C)OC(=O)Nc1cc(CN)ccn1.Cl.Cl,2.730900000000001,2,4,3,77.24,37,76.48110000000003,True,False,True
CCCCCCCC(N)c1cccnc1.Cl,3.863700000000003,1,2,9,38.91,39,71.78940000000004,True,False,True
Cl.NCCOc1ccc(C(F)(F)F)cn1,1.8596999999999997,1,3,4,48.14,25,51.036400000000015,True,False,True
Cl.Cl.Nc1ccc(/C=C/c2ccccn2)cc1,3.677800000000003,1,2,3,38.91,31,78.51540000000003,True,False,True
Cl.Clc1ccc2c(n1)CCNCC2,1.845,1,2,0,24.92,25,56.77270000000003,True,False,True
Cl.O=C(c1cccnc1)C1CCNCC1,1.6857,1,3,2,41.99,30,61.409200000000034,True,False,True
Cl.Cl.Clc1cc(N2CCNCC2)ccn1,1.9881999999999995,1,3,1,28.16,29,68.82570000000003,True,False,True
CCOC(=O)c1ccc(CN)nc1.Cl,1.1388,1,4,5,65.21000000000001,27,55.33290000000002,True,False,True
Cc1c(Cl)ccc2c(Cl)c(C(=O)O)cnc12.Cl,3.970020000000002,1,3,2,50.19,25,70.7073,True,False,True
Cl.ClCc1c[nH]c2ncccc12,2.7234999999999996,1,1,1,28.68,20,52.89870000000003,True,False,True
Cl.NCCCc1cncc(C(F)(F)F)c1,2.413500000000001,1,2,4,38.91,27,53.862400000000015,True,False,True
O.O=C(O)c1cnc2c(Br)cccc2c1,1.8707999999999996,1,3,1,81.69,23,60.01610000000002,True,False,True
CCOC(=O)C(N)c1ccncc1.Cl.Cl,1.488099999999999,1,4,5,65.21000000000001,29,62.29440000000003,True,False,True
Cc1ccc(NN)nc1.Cl,1.0974199999999998,2,3,3,50.94,20,44.032100000000014,True,False,True
Cl.N[C@@H](c1ccncc1Cl)C(F)(F)F,2.7189000000000005,1,2,2,38.91,21,49.47840000000001,True,False,True
CN(CCC(=O)O)Cc1cccnc1.Cl.Cl,1.8316999999999997,1,4,6,53.43000000000001,32,67.31980000000003,True,False,True
Cl.Nc1ccc(C(=O)N2CCCC2)cn1,1.3216,1,3,2,59.220000000000006,29,61.03490000000002,True,False,True
Cc1cc2c(c(N3CCNCC3)n1)CCO2.Cl.Cl,1.5781199999999995,1,4,2,37.39,37,77.75170000000003,True,False,True
Cc1cc(CCl)nc2ccccc12.Cl,3.7038200000000017,0,1,2,12.89,25,63.285000000000025,True,False,True
Cl.Cl.Fc1cccc(C2CNC2)n1,1.7510999999999997,1,2,1,24.92,24,54.301700000000025,True,False,True
Cl.N#Cc1cccnc1OC1CCNCC1,1.5058799999999997,1,4,2,57.94,30,62.71970000000004,True,False,True
Cl.NNc1ccnc2ccc(F)cc12,2.0812999999999997,2,3,2,50.94,23,56.75910000000001,True,False,True
CC(C)(C)Oc1ccc(Cl)c(C(=N)N)n1.Cl,2.6181699999999997,2,3,2,71.99,31,67.89210000000001,True,False,True
Cl.Cl.c1cncc(C2CCNCC2)c1,2.3922,1,2,1,24.92,30,63.57770000000003,True,False,True
Cl.Cl.NCc1ccnc(-n2ccnc2)c1,1.5696,1,4,3,56.73,27,63.74640000000002,True,False,True
Cl.N[C@@H](CO)c1cccnc1,0.4955000000000002,2,3,4,59.14,22,45.49920000000002,True,False,True
CN(C)C(=[O+]n1ccccc1=O)N(C)C.F[B-](F)(F)F,1.6903,0,2,5,39.78,36,69.05600000000001,True,False,True
Cl.O=C(O)c1ccccc1Oc1ccncc1,2.993900000000001,1,4,3,59.42,27,64.96030000000003,True,False,True
Cc1ccc(B(O)O)cn1.Cl,-0.50838,2,3,4,53.35,20,46.04760000000002,True,False,True
Br.COc1cc(N)c2ncccc2c1,2.4035,1,3,3,48.14,25,63.029400000000024,True,False,True
Cl.Cl.NCCCSc1ccccn1,2.366099999999999,1,3,5,38.91,27,63.12840000000003,True,False,True
Cl.O=C(O)c1ccnc(-n2cncn2)c1,0.7822999999999999,1,6,2,80.89999999999999,22,53.361300000000014,True,False,True
Cl.N=C(N)c1ccc(-c2ccco2)cn1,2.0474699999999997,2,3,2,75.9,25,60.20310000000001,True,False,True
COC(=O)CC(N)c1ccccn1.Cl.Cl,1.488099999999999,1,4,5,65.21000000000001,29,62.29440000000003,True,False,True
O=C1Cc2cc(C(=O)C[n+]3ccccc3)ccc2N1.[Cl-],-1.644399999999998,1,2,3,50.05,33,69.74320000000003,True,False,True
CNCCc1ccccn1.Cl.Cl,1.6871,1,2,4,24.92,26,56.36370000000004,True,False,True
CC[C@@H](N)c1ccncc1.Cl.Cl,2.335000000000001,1,2,4,38.91,26,55.95240000000003,True,False,True
Cl.N[C@H]1CC[C@H](NCc2ccncc2)CC1,1.8628999999999996,2,3,4,50.94,36,68.55610000000003,True,False,True
Cc1ccncc1CN.Cl.Cl,1.69232,1,2,3,38.91,23,51.361400000000025,True,False,True
O.OB(O)c1ccc2ncccc2c1,-0.9101000000000008,2,3,3,84.85000000000001,24,55.18240000000004,True,False,True
Cl.Nc1cncc2ccccc12,2.2388000000000003,1,2,1,38.91,21,53.40340000000001,True,False,True
Cl.Cl.NCc1cccnc1C(F)(F)F,2.4027000000000003,1,2,2,38.91,23,51.62640000000001,True,False,True
Cc1cnc2sc(N)cc2c1.Cl,2.6087200000000004,1,3,2,38.91,21,56.017400000000016,True,False,True
CC(c1ccccn1)N1CCCCC1CN.Cl,2.3775999999999997,1,3,5,42.150000000000006,39,73.29940000000003,True,False,True
Cl.Cl.N#Cc1ccc(NN)cn1,1.0824799999999997,2,4,2,74.73,20,51.258100000000006,True,False,True
Cl.Cl.N=C(N)c1cccnc1N1CCCCC1,2.1995700000000005,2,3,2,66.0,35,75.81310000000003,True,False,True
Cc1cc(O)cc(C2CCCNC2)n1.Cl.Cl,2.40622,2,3,3,45.15,34,69.97950000000003,True,False,True
