SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE
O=S(=O)(Cl)c1ccc2nc(O)ccc2c1,1.8678999999999997,1,4,2,67.26,21,56.44660000000002,True,False,False,False,243.671,True
O=S(=O)(Cl)c1ccc(F)c2cccnc12,2.3014,0,3,1,47.03,20,54.73980000000002,True,False,False,False,245.662,True
Cc1ccc(S(=O)(=O)Cl)c2ncccc12,2.470720000000001,0,3,2,47.03,23,59.51880000000001,True,False,False,False,241.69900000000004,True
O=S(=O)(Cl)c1ccc(OC2CCC2)nc1,1.9404,0,4,3,56.260000000000005,25,55.54280000000002,True,False,False,False,247.7030000000001,True
Cc1ccc(S(=O)(=O)Cl)c2cccnc12,2.47072,0,3,2,47.03,23,59.51880000000001,True,False,False,False,241.69900000000004,True
O=S(=O)(Cl)c1ccc2ncccc2c1,2.1623,0,3,1,47.03,20,54.781800000000025,True,False,False,False,227.67200000000005,True
O=S(=O)(Cl)c1ccnc2ccccc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
O=[N+]([O-])c1ncccc1OCCS(=O)(=O)Cl,0.9372,0,6,5,99.4,23,56.026200000000024,True,False,False,False,266.66199999999986,True
Cc1ccc2cccnc2c1S(=O)(=O)Cl,2.470720000000001,0,3,2,47.03,23,59.51880000000003,True,False,False,False,241.69900000000007,True
O=S(=O)(Cl)c1ccc2cc(Cl)nc(Cl)c2c1,3.469100000000001,0,3,1,47.03,20,64.8018,True,False,False,False,296.56199999999995,True
CC(C)(C)c1ccc(S(=O)(=O)Cl)nc1,2.3066000000000004,0,3,1,47.03,26,55.975800000000035,True,False,False,False,233.72000000000008,True
Cc1ccnc2c(S(=O)(=O)Cl)cccc12,2.470720000000001,0,3,2,47.03,23,59.51880000000003,True,False,False,False,241.69900000000004,True
O=c1ccc2cc(S(=O)(=O)Cl)ccc2[nH]1,1.4556,1,3,1,67.0,21,57.607500000000016,True,False,False,False,243.671,True
O=S(=O)(Cl)c1cnc2onc(-c3ccccc3)c2c1,2.8173000000000004,0,5,2,73.06,26,70.2788,True,False,False,False,294.7189999999999,True
O=S(=O)(Cl)C1CCCc2cccnc21,2.0276,0,3,1,47.03,24,54.68880000000002,True,False,False,False,231.7040000000001,True
O=S(=O)(Cl)c1ccc(OCC(F)(F)F)nc1,1.9501999999999995,0,4,3,56.260000000000005,21,48.8258,True,False,False,False,275.6349999999999,True
COc1ccnc2c(S(=O)(=O)Cl)cccc12,2.1709000000000005,0,4,3,56.26,24,61.333800000000025,True,False,False,False,257.698,True
O=S(=O)(Cl)c1c(F)ccc2cccnc12,2.3014,0,3,1,47.03,20,54.73980000000002,True,False,False,False,245.662,True
CC(c1ccccn1)S(=O)(=O)Cl,1.7112,0,3,3,47.03,20,47.42480000000002,True,False,False,False,205.66600000000005,True
O=c1ccc2ccc(S(=O)(=O)Cl)cc2[nH]1,1.4555999999999998,1,3,1,67.0,21,57.607500000000016,True,False,False,False,243.671,True
COC(=O)c1nc(Cl)ccc1S(=O)(=O)Cl,1.4491000000000005,0,5,3,73.33,20,53.62530000000002,True,False,False,False,270.0929999999999,True
O=S(=O)(Cl)c1ccnc2ccc(Cl)cc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
O=S(=O)(Cl)c1cnn(-c2ccc(Cl)cn2)c1,1.8481999999999996,0,5,2,64.85,21,59.40780000000001,True,False,False,False,278.1199999999999,True
O=S(=O)(Cl)c1ccc(OCC2CCC2)nc1,2.1879999999999997,0,4,4,56.260000000000005,28,60.111800000000024,True,False,False,False,261.7299999999999,True
Cc1ccc2c(S(=O)(=O)Cl)c(C)ccc2n1,2.779140000000001,0,3,3,47.03,26,64.25580000000002,True,False,False,False,255.72600000000008,True
CCOc1ccc(S(=O)(=O)Cl)c2cccnc12,2.561,0,4,4,56.260000000000005,27,65.95080000000003,True,False,False,False,271.7249999999998,True
CCOc1ccc(S(=O)(=O)Cl)c2ncccc12,2.561000000000001,0,4,4,56.260000000000005,27,65.95080000000003,True,False,False,False,271.7249999999998,True
O=S(=O)(Cl)c1ccc2nc(Cl)ccc2c1,2.8157000000000005,0,3,1,47.03,20,59.791800000000016,True,False,False,False,262.1169999999999,True
O=S(=O)(Cl)c1c(Cl)ccc2c(Cl)ccnc12,3.469100000000001,0,3,1,47.03,20,64.80180000000001,True,False,False,False,296.56199999999995,True
Cc1cc(CS(=O)(=O)Cl)c2ccccc2n1,2.6118200000000007,0,3,3,47.03,26,64.95680000000003,True,False,False,False,255.72600000000008,True
CCc1ccc(S(=O)(=O)Cl)cn1,1.5715,0,3,3,47.03,20,46.65380000000002,True,False,False,False,205.66600000000005,True
Cn1c(=O)c2cc(S(=O)(=O)Cl)cnc2n(C)c1=O,-0.4402999999999999,0,7,3,91.03,26,65.2638,True,False,False,False,289.6999999999999,True
