SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
O=C(O)c1ccn2cc(-c3cccc([N+](=O)[O-])c3)nc2c1,2.6077000000000004,1,6,3,97.74,30,74.24170000000001,True,False,False,True
O=C(O)c1ccn2cc(-c3ccc(Cl)cc3)nc2c1,3.3529000000000018,1,4,2,54.599999999999994,28,72.59730000000002,True,False,False,True
COc1cccc(-n2c(C)ccc2-c2ccccn2)c1,3.856320000000003,0,3,5,27.05,36,80.28900000000003,True,False,False,True
Cc1ccn2cc(C(=O)O)nc2c1,1.34092,1,4,2,54.6,21,46.888300000000015,True,False,False,True
COc1cccc(-c2nc3ccccn3c2C=O)c1,2.822400000000001,0,4,4,43.6,31,72.56750000000002,True,False,False,True
O=Cc1cn(-c2ncccc2C(F)(F)F)c2ccccc12,3.8568000000000016,0,3,2,34.89,30,71.45950000000002,True,False,False,True
O=c1cc(CS)nc2ccccn12,1.1243,1,4,2,34.370000000000005,21,54.152000000000015,True,False,False,True
Cc1ccccc1-c1nc2ccccn2c1N,2.89192,1,3,3,43.32,30,69.77740000000001,True,False,False,True
O=c1[nH]nc2c(-c3nc(-c4cccc(F)c4)no3)cccn12,1.8786999999999996,1,6,2,89.08,30,74.49870000000001,True,False,False,True
CC(=O)c1c(C)nc2ccc(Cl)cn12,2.4987200000000005,0,3,3,34.370000000000005,23,54.94350000000003,True,False,False,True
Cc1c(C(=O)O)ccc2cncn12,1.34092,1,4,2,54.599999999999994,21,46.888300000000015,True,False,False,True
O=Cc1c(N2CCOCC2)nc2ccccn2c1=O,0.3436000000000001,0,6,2,63.91,32,69.88150000000003,True,False,False,True
O=C(Nc1cn2cc(F)ccc2n1)C(F)(F)F,1.9742,1,3,1,46.400000000000006,22,49.8347,True,False,False,True
Cc1ccn2c(C)cnc2c1,1.95114,0,2,2,17.3,21,44.66600000000002,True,False,False,True
Cc1ccc(-n2c(C)ccc2C)nc1,2.7975600000000007,0,2,4,17.82,28,57.77500000000003,True,False,False,True
NNC(=O)Cc1cn2cc(F)ccc2n1,0.0057999999999998,2,4,3,72.42,24,51.184100000000015,True,False,False,True
OCc1nc(-c2ccccc2)n2ccccc12,2.4936000000000007,1,3,3,37.53,29,66.55080000000002,True,False,False,True
CCc1nc2c(C)cc(Br)cn2c1N,2.5498199999999995,1,3,4,43.32,26,61.41940000000001,True,False,False,True
CCc1ccc(-c2cc3ccccn3c2)cc1,4.168700000000003,0,1,3,4.41,32,72.21100000000004,True,False,False,True
O=C(O)c1cccn(-c2ccccc2C(F)(F)F)c1=O,2.554500000000001,1,4,2,59.3,28,64.0003,True,False,False,True
CCOC(=O)c1cccn2c(Br)cnc12,2.2735000000000003,0,4,3,43.6,24,58.848500000000016,True,False,False,True
Cc1cccn2c(C=O)c(-c3ccc(F)cc3)nc12,3.261320000000002,0,3,3,34.370000000000005,30,70.71050000000002,True,False,False,True
COc1cn(-c2ccc(F)cc2)c(CO)cc1=O,1.4774999999999996,1,4,5,51.46,30,64.47180000000003,True,False,False,True
Clc1ccn2c(-c3ccccc3)nnc2c1,3.0497000000000014,0,3,1,30.19,24,63.43300000000003,True,False,False,True
COc1ccc(-c2cn3ccc(C(=O)O)cc3n2)cc1,2.708100000000001,1,5,4,63.83,32,74.13930000000003,True,False,False,True
O=C(O)c1ccc2c(c1)ncn2-c1cccnc1,2.1186999999999996,1,5,2,68.00999999999999,27,65.82430000000001,True,False,False,True
Cc1c(C=NO)c2ccccn2c1C(=O)c1ccc(F)cc1,3.4259200000000023,1,4,5,54.07,35,81.34700000000001,True,False,False,True
NCCc1cn2cc(C(F)(F)F)ccc2n1,1.8543,1,3,3,43.32,26,52.95240000000001,True,False,False,True
Cc1ccn2c([N+](=O)[O-])c(Cl)nc2c1,2.20432,0,4,2,60.44,20,51.59340000000001,True,False,False,True
O=C(O)c1ccnc(-n2cccc2)c1,1.5704999999999998,1,4,2,55.12,22,50.52330000000002,True,False,False,True
Cc1ccc(-c2nc3c(C)cccn3c2C=O)cc1,3.430640000000002,0,3,4,34.370000000000005,33,75.48950000000004,True,False,False,True
O=[N+]([O-])c1cc(-n2ccnc2)ccn1,1.1754999999999998,0,5,2,73.85,20,48.01340000000002,True,False,False,True
COC(=O)c1cc(Cl)cn2ccnc12,1.7742999999999998,0,4,2,43.6,21,51.54150000000001,True,False,False,True
O=C(O)C1CN(Cc2cn3ccccc3n2)C1,0.8507,1,5,3,57.84,30,61.59480000000003,True,False,False,True
FC(F)(F)CNCc1cn2ccccc2n1,1.9861999999999995,1,3,3,29.33,26,52.953700000000026,True,False,False,True
