SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link
COc1cnc(N)cc1OC,0.681,1,4,5,57.37,21,41.7534,True,False,False,False,154.169,False,False,False,"InChI=1S/C7H10N2O2/c1-10-5-3-7(8)9-4-6(5)11-2/h3-4H,1-2H3,(H2,8,9)",XKKKEZUQYZLTGG-UHFFFAOYSA-N,15724963,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1000843-61-7.html
Cc1nccc2cccc(C=O)c12,2.35572,0,2,2,29.96,22,51.8675,True,False,False,False,171.199,False,False,False,"InChI=1S/C11H9NO/c1-8-11-9(5-6-12-8)3-2-4-10(11)7-13/h2-7H,1H3",PBLGIWCJSDVGAL-UHFFFAOYSA-N,121228811,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1416713-00-2.html
CN1CCCCC1c1cccnc1N,1.8206,1,3,3,42.15,31,57.8714,True,False,False,False,191.278,False,False,False,"InChI=1S/C11H17N3/c1-14-8-3-2-6-10(14)9-5-4-7-13-11(9)12/h4-5,7,10H,2-3,6,8H2,1H3,(H2,12,13)",LQJOLYZSAPOTEH-UHFFFAOYSA-N,2997247,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QZ-1420,NONE,NONE,NONE,NONE,NONE
Nc1ccc(NC(=O)C2CCC2)cn1,1.4024,2,3,3,68.01,27,54.6201,True,False,False,False,191.234,False,False,False,"InChI=1S/C10H13N3O/c11-9-5-4-8(6-12-9)13-10(14)7-2-1-3-7/h4-7H,1-3H2,(H2,11,12)(H,13,14)",HHBZKZJJYFMQJD-UHFFFAOYSA-N,62900314,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1338967-16-0.html
CC(=O)Cc1ncccc1C,1.52152,0,2,4,29.96,22,43.359,True,False,False,False,149.193,False,False,False,"InChI=1S/C9H11NO/c1-7-4-3-5-10-9(7)6-8(2)11/h3-5H,6H2,1-2H3",GBHJULOPIKRXAE-UHFFFAOYSA-N,16640571,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?HF-0589,https://www.sigmaaldrich.com/catalog/product/aldrich/cbr00268?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
OCc1ccc(OCC2CC2)cn1,1.3627,1,3,5,42.35,26,48.3788,True,False,False,False,179.219,False,False,False,"InChI=1S/C10H13NO2/c12-6-9-3-4-10(5-11-9)13-7-8-1-2-8/h3-5,8,12H,1-2,6-7H2",YGHZBEQIBIVNJQ-UHFFFAOYSA-N,67290476,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/P000733256.html
COC(=O)c1nccc2ccccc12,2.0214,0,3,2,39.19,23,53.0825,True,False,False,False,187.198,False,False,False,"InChI=1S/C11H9NO2/c1-14-11(13)10-9-5-3-2-4-8(9)6-7-12-10/h2-7H,1H3",WJHGJDGITRCZLH-UHFFFAOYSA-N,21196988,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QY-1513,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/27104-72-9.html
CC1(c2ccccn2)OCCO1,1.3011,0,3,2,31.35,23,43.493,True,False,False,False,165.192,False,False,False,"InChI=1S/C9H11NO2/c1-9(11-6-7-12-9)8-4-2-3-5-10-8/h2-5H,6-7H2,1H3",PIMOKZUNAGGMDZ-UHFFFAOYSA-N,324521,"['Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QC-7062,https://www.sigmaaldrich.com/catalog/product/aldrich/s55574,NONE,NONE,NONE,NONE
CC(C)(C)c1ccnc(C=O)c1,2.1916,0,2,1,29.96,25,48.3245,True,False,False,False,163.22,False,False,False,"InChI=1S/C10H13NO/c1-10(2,3)8-4-5-11-9(6-8)7-12/h4-7H,1-3H3",CKNDWLWHZWBDGR-UHFFFAOYSA-N,18799695,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/67141-22-4.html
Cc1cc(N)c2ccccc2n1,2.12542,1,2,2,38.91,22,50.8924,True,False,False,False,158.204,False,False,False,"InChI=1S/C10H10N2/c1-7-6-9(11)8-4-2-3-5-10(8)12-7/h2-6H,1H3,(H2,11,12)",COCFIBRMFPWUDW-UHFFFAOYSA-N,81116,"['VWR, Part of Avantor', 'TCI (Tokyo Chemical Industry)', 'Ambeed', 'Sigma-Aldrich', 'Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QF-7211,https://www.sigmaaldrich.com/catalog/product/sial/05851?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,http://www.tcichemicals.com/eshop/en/us/commodity/A0415/index.html,NONE,https://us.vwr.com/store/product/9561101/4-amino-2-methylquinoline-97-0-by-gc-titration-analysis,https://www.ambeed.com/products/6628-04-2.html
c1cc(CNC2CCCC2)ccn1,2.1138,1,2,3,24.92,29,53.3327,True,False,False,False,176.263,False,False,False,"InChI=1S/C11H16N2/c1-2-4-11(3-1)13-9-10-5-7-12-8-6-10/h5-8,11,13H,1-4,9H2",ZNQODUXHYMFCDP-UHFFFAOYSA-N,961198,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?HA-3742,https://www.sigmaaldrich.com/catalog/product/aldrich/cds002147?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
COc1ccc2ncc(=O)[nH]c2n1,0.3267,1,4,2,67.87,20,46.7107,True,False,False,False,177.163,False,False,False,"InChI=1S/C8H7N3O2/c1-13-7-3-2-5-8(11-7)10-6(12)4-9-5/h2-4H,1H3,(H,10,11,12)",KQQOCTNNXMAEPD-UHFFFAOYSA-N,66739803,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QD-6779,NONE,NONE,NONE,NONE,NONE
CC(=O)CC(=O)c1ccncc1,1.2434,0,3,4,47.03,21,43.8655,True,False,False,False,163.176,False,False,False,"InChI=1S/C9H9NO2/c1-7(11)6-9(12)8-2-4-10-5-3-8/h2-5H,6H2,1H3",BZZPMCZQQJWNTB-UHFFFAOYSA-N,12418330,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?HA-2970,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/75055-73-1.html
Cc1ccnc(N)c1C1CC1,1.84962,1,2,3,38.91,23,45.3614,True,False,False,False,148.209,False,False,False,"InChI=1S/C9H12N2/c1-6-4-5-11-9(10)8(6)7-2-3-7/h4-5,7H,2-3H2,1H3,(H2,10,11)",YQWOAHJDBWFKIT-UHFFFAOYSA-N,64492250,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1339318-82-9.html
Cc1c[nH]c2nccc([N+](=O)[O-])c12,1.77952,1,3,2,71.82,20,47.4851,True,False,False,False,177.163,False,False,False,"InChI=1S/C8H7N3O2/c1-5-4-10-8-7(5)6(11(12)13)2-3-9-8/h2-4H,1H3,(H,9,10)",VSUOHIJYKFLZLY-UHFFFAOYSA-N,72207904,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QM-8137,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1363380-52-2.html
CC(=O)Nc1cnc(C)c(C(=O)O)c1,1.04662,2,4,4,79.29,24,50.237,True,False,False,False,194.19,False,False,False,"InChI=1S/C9H10N2O3/c1-5-8(9(13)14)3-7(4-10-5)11-6(2)12/h3-4H,1-2H3,(H,11,12)(H,13,14)",ODUJZQAKPRYMHL-UHFFFAOYSA-N,119027327,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1248550-93-7.html
Nc1cnc2cccc(O)c2c1,1.5226,2,3,2,59.14,20,47.8202,True,False,False,False,160.176,False,False,False,"InChI=1S/C9H8N2O/c10-6-4-7-8(11-5-6)2-1-3-9(7)12/h1-5,12H,10H2",VMEDORXRXKSRNC-UHFFFAOYSA-N,136229132,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QC-9588,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1261625-77-7.html
CCOC(=O)c1cc2ccncc2[nH]1,1.7396,1,3,3,54.98,24,52.0502,True,False,False,False,190.202,False,False,False,"InChI=1S/C10H10N2O2/c1-2-14-10(13)8-5-7-3-4-11-6-9(7)12-8/h3-6,12H,2H2,1H3",GWQJRVCTFVYPBK-UHFFFAOYSA-N,21819001,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QE-2661,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/24334-19-8.html
